city,cloudiness,Country,date,humid,lat,lng,max_temp,wind_speed
kingston,20,JM,03/16/2020,69,18.0,-76.79,78.8,8.05
west wendover,1,US,03/16/2020,32,40.74,-114.07,53.6,19.46
regina,90,CA,03/16/2020,85,50.45,-104.62,19.0,8.05
namibe,100,AO,03/16/2020,78,-15.2,12.15,75.52,5.86
ornskoldsvik,25,SE,03/16/2020,58,63.29,18.72,33.8,16.11
pietarsaari,90,FI,03/16/2020,80,63.65,22.68,35.01,9.17
kolpashevo,100,RU,03/16/2020,96,58.31,82.91,34.27,17.74
dossor,100,KZ,03/16/2020,50,47.53,52.98,39.02,14.81
makakilo city,90,US,03/16/2020,83,21.35,-158.09,78.8,4.7
severo-kurilsk,97,RU,03/16/2020,95,50.68,156.12,24.84,46.73
xining,100,CN,03/16/2020,66,36.62,101.77,30.36,1.68
konevo,100,RU,03/16/2020,79,62.12,39.32,21.88,13.18
kavieng,100,PG,03/16/2020,72,-2.57,150.8,83.88,9.55
meulaboh,100,ID,03/16/2020,75,4.14,96.13,83.21,5.86
aksu,0,CN,03/16/2020,21,41.12,80.26,48.02,6.04
parrita,82,CR,03/16/2020,60,9.52,-84.32,71.6,13.87
jega,99,NG,03/16/2020,9,12.22,4.38,75.25,9.04
waw,1,SS,03/16/2020,31,7.7,28.0,74.48,3.62
shigony,100,RU,03/16/2020,97,53.39,48.68,30.18,7.83
chebarkul,26,RU,03/16/2020,85,54.97,60.36,26.11,4.59
lavrentiya,0,RU,03/16/2020,83,65.58,-171.0,25.83,7.25
banda aceh,59,ID,03/16/2020,64,5.56,95.32,85.28,6.04
rawson,79,AR,03/16/2020,66,-43.3,-65.1,64.27,20.18
nago,0,JP,03/16/2020,40,26.59,127.98,69.01,16.11
klaksvik,100,FO,03/16/2020,74,62.23,-6.59,33.8,18.34
kemin,95,KG,03/16/2020,24,42.78,75.69,44.13,6.87
grafton,1,US,03/16/2020,23,42.21,-71.69,33.8,11.41
narsaq,100,GL,03/16/2020,79,60.92,-46.05,19.4,1.12
wolnzach,86,DE,03/16/2020,100,48.6,11.63,36.0,2.24
palmer,1,US,03/16/2020,33,42.16,-72.33,35.01,11.41
kruisfontein,100,ZA,03/16/2020,88,-34.0,24.73,60.33,10.02
soyo,100,AO,03/16/2020,90,-6.13,12.37,80.29,5.61
